"filename", "language", "PHP", "comment", "blank", "total"
"c:\wamp64\www\kvd_istais kods\app\Models\Comment.php", "PHP", 24, 0, 6, 30
"c:\wamp64\www\kvd_istais kods\app\Models\Post.php", "PHP", 14, 2, 4, 20
"c:\wamp64\www\kvd_istais kods\app\Models\User.php", "PHP", 11, 0, 4, 15
"Total", "-", 49, 2, 14, 65
