"filename", "language", "PHP", "comment", "blank", "total"
"c:\wamp64\www\kvd_istais kods\app\Http\Middleware\AlreadyLoggedIn.php", "PHP", -16, -7, -4, -27
"c:\wamp64\www\kvd_istais kods\app\Http\Middleware\Authcheck.php", "PHP", 15, 7, 4, 26
"Total", "-", -1, 0, 0, -1
